name,popularity,followers_total,Country,images_df
Damso,74,3678739,Belgium,https://i.scdn.co/image/ab6761610000e5eb6d1dac9cd0d24eee082f5410
Woodie Smalls,40,46140,Belgium,https://i.scdn.co/image/ab6761610000e5ebfc0c6b9395084d4ccd642a35
Hamza,67,675752,Belgium,https://i.scdn.co/image/ab6761610000e5eb4894d746f7b8ce46bd2aa2d3
blackwave.,47,50182,Belgium,https://i.scdn.co/image/ab6761610000e5eb8c76ad3e554c6eb6ed43b342
Roméo Elvis,61,780371,Belgium,https://i.scdn.co/image/ab6761610000e5eb7e7c664aebb73b97b2664bb7
DYSTINCT,60,63857,Belgium,https://i.scdn.co/image/ab6761610000e5eb086302bcdf2e4c75b4d3fe77
Rare Akuma,33,19754,Belgium,https://i.scdn.co/image/ab6761610000e5ebd6088a86936afcfd5b88aba0
Green Montana,62,75143,Belgium,https://i.scdn.co/image/ab6761610000e5eb0148c9711cac25b0ad8d9883
Swing,43,101549,Belgium,https://i.scdn.co/image/ab6761610000e5eb948dab633c7bfd9c5f2fcb83
Yung Mavu,39,26880,Belgium,https://i.scdn.co/image/ab6761610000e5eb3aa45b2859a3c387449434d7
Darrell Cole,31,7110,Belgium,https://i.scdn.co/image/ab6761610000e5ebab9a501e824c824757fa3031
David Okit,42,41049,Belgium,https://i.scdn.co/image/ab6761610000e5ebc286b4736d8247c665538613
JeanJass,54,40585,Belgium,https://i.scdn.co/image/ab6761610000e5ebd8581c30cd49e4e064c77182
Krisy,46,120114,Belgium,https://i.scdn.co/image/ab6761610000e5ebc03ddc2d980d4919cbc824e9
Todiefor,39,9551,Belgium,https://i.scdn.co/image/ab6761610000e5eb0785c2b1e8bd559245284990
ICO,52,188997,Belgium,https://i.scdn.co/image/ab6761610000e5ebddd5724c609d515403041f18
Caballero & JeanJass,51,291064,Belgium,https://i.scdn.co/image/ab6761610000e5eb4212596fd4cde0d12c515203
Moka Boka,35,22318,Belgium,https://i.scdn.co/image/ab6761610000e5eb555379c7f92390d5cc8be7be
Frenetik,49,64671,Belgium,https://i.scdn.co/image/ab6761610000e5eb732d183924c1eb78212deb5f
Scylla,49,96405,Belgium,https://i.scdn.co/image/ab6761610000e5ebdfaa7347b64261717901a4d7
K1D,32,7682,Belgium,https://i.scdn.co/image/ab6761610000e5ebc39aff7ecba701bb6b07ebaa
TheColorGrey,31,15258,Belgium,https://i.scdn.co/image/ab6761610000e5eb10a92b238c211f8c0b8621df
Caballero,50,49762,Belgium,https://i.scdn.co/image/ab6761610000e5eb2e23c0c724ffabf8bc30563e
Baloji,28,23756,Belgium,https://i.scdn.co/image/f657e17850c5e8c4afd8869959fb1a454aebab3f
Blu Samu,33,20938,Belgium,https://i.scdn.co/image/ab6761610000e5eb5b2049747a91e59e0511ed4b
ISHA,49,88302,Belgium,https://i.scdn.co/image/ab6761610000e5eb3d1d51bbe693a02d8fdcd76e
Coely,34,22996,Belgium,https://i.scdn.co/image/ab6761610000e5eb94748543845b6b3130a209b9
Yanso,34,1730,Belgium,https://i.scdn.co/image/ab6761610000e5eb88ed6670762d56ac54ffeeac
L'Or du Commun,41,120925,Belgium,https://i.scdn.co/image/ab6761610000e5eb1f2974ba32fe25f97e61a42d
Storme,23,351,Belgium,https://i.scdn.co/image/ab67616d0000b273ccdea0d4c93a62ed96b33099
Kobo,41,22500,Belgium,https://i.scdn.co/image/ab6761610000e5eb6f84f954c1a9e8adf5168f48
