"","Sex","Age","Household Type","District","House_Clothes","Cooking","Shopping","Admin","Repairs","Childcare","Elderly_care","Other_care","House_Clothes_Help","Cooking_Help","Shopping_Help","Admin_Help","Repairs_Help","Childcare_Help","Elderly_care_Help","Other_care_Help","Overall_chores"
"1","Male",59,"Single parent","Distrito de Centro","None","Man","Man","Man","Man","Man",NA,"None","Paid help","No help","No help","No help","No help","No help","No answer","No help","Man"
"2","Female",76,"Single parent","Distrito de Centro","None","Woman","Both","Woman","None",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","None"
"3","Male",42,"Single parent","Distrito de Centro","Woman","Woman","Man","Man","Woman",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"4","Female",38,"Single parent","Distrito de Centro","Both","Both","Both","Both","Man",NA,NA,"Woman","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"5","Male",23,"Single parent","Distrito de Centro","Both","Man","Man","Woman","Woman",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"6","Female",54,"Couple without children","Distrito de Centro","Both","Both","Both","None","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"7","Male",85,"Couple without children","Distrito de Centro","Both","Both","Woman","Both","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"8","Male",78,"Couple without children","Distrito de Centro","Woman","Woman","Man","Man","Both",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Man"
"9","Male",73,"Couple without children","Distrito de Centro","Man","Man","Man","Man","None",NA,"Man","None","Paid help","Paid help","Paid help","Unpaid help","Paid help","No answer","Paid help","No help","Man"
"10","Female",70,"Couple without children","Distrito de Centro","Woman","Both","Both","Both","None",NA,"None","None","Paid help","Paid help","Paid help","No help","No help","No answer","No help","No help","Both"
"11","Female",84,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Man","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","None"
"12","Male",69,"Couple without children","Distrito de Centro","Woman","Woman","Both","Man","Woman",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"13","Female",82,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Man","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","Paid help","No help","None"
"14","Male",66,"Couple without children","Distrito de Centro","Woman","Woman","Woman","None","None",NA,"Woman","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"15","Male",63,"Couple without children","Distrito de Centro","Both","Both","Man","Man","Woman",NA,NA,"None","No help","No help","No help","No help","Unpaid help","No answer","No answer","No help","Man"
"16","Female",65,"Couple without children","Distrito de Centro","Both","Woman","Woman","Woman","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"17","Male",70,"Couple without children","Distrito de Centro","Both","Both","Both","Both","None",NA,"None","None","No help","No help","No help","Unpaid help","No help","No answer","No help","No help","Both"
"18","Female",80,"Couple without children","Distrito de Centro","Both","Both","Both","Man","None",NA,"Woman","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"19","Male",73,"Couple without children","Distrito de Centro","Woman","Woman","Both","None","None",NA,"None","None","No help","No help","No help","Unpaid help","No help","No answer","No help","No help","None"
"20","Male",91,"Couple without children","Distrito de Centro","None","Woman","Woman","Man","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"21","Male",73,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Woman","Woman",NA,"Woman","Woman","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"22","Female",69,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Both","Woman",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"23","Male",85,"Couple without children","Distrito de Centro","None","Woman","Man","Man","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"24","Female",40,"Couple without children","Distrito de Centro","Woman","Woman","Woman","Both","Man",NA,NA,"Man","No help","No help","No help","No help","No help","No answer","No answer","Paid help","Woman"
"25","Male",83,"Couple without children","Distrito de Centro","Man","Man","Man","Both","Both",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Man"
"26","Female",66,"Couple without children","Distrito de Centro","None","Woman","Both","Man","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Man"
"27","Female",64,"Couple without children","Distrito de Centro","Woman","Woman","Both","Both","Both",NA,"Both","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"28","Female",58,"Couple without children","Distrito de Centro","Both","Both","Both","Man","None",NA,NA,"Woman","No help","No help","No help","No help","Paid help","No answer","No answer","Unpaid help","Both"
